Index,Sample,Component,Expected,Obtained,AbsError,RelError
349,174,Imag,-9.835927766,nan,nan,nan
350,175,Real,-7.987953744,nan,nan,nan
351,175,Imag,7.086069813,nan,nan,nan
352,176,Real,-1.398960754,-nan,nan,nan
353,176,Imag,1.944046319,nan,nan,nan
354,177,Real,1.015068527,-nan,nan,nan
355,177,Imag,21.72167353,nan,nan,nan
356,178,Real,-8.477620205,nan,nan,nan
357,178,Imag,10.40000301,nan,nan,nan
358,179,Real,-13.0132548,nan,nan,nan
359,179,Imag,6.233999394,nan,nan,nan
360,180,Real,-7.750684166,nan,nan,nan
361,180,Imag,9.466968093,nan,nan,nan
362,181,Real,2.570916949,nan,nan,nan
363,181,Imag,-12.00369168,nan,nan,nan
364,182,Real,5.694225768,-nan,nan,nan
365,182,Imag,9.743466453,nan,nan,nan
366,183,Real,3.898857799,nan,nan,nan
367,183,Imag,12.25535007,nan,nan,nan
368,184,Real,1.584372444,nan,nan,nan
369,184,Imag,-6.436217033,nan,nan,nan
370,185,Real,-2.511885581,nan,nan,nan
371,185,Imag,11.69522371,nan,nan,nan
372,186,Real,10.80750957,nan,nan,nan
373,186,Imag,-5.218197665,nan,nan,nan
374,187,Real,9.90691062,nan,nan,nan
375,187,Imag,-7.571038615,nan,nan,nan
376,188,Real,-0.4237919124,nan,nan,nan
377,188,Imag,8.908664397,nan,nan,nan
378,189,Real,1.524400472,nan,nan,nan
379,189,Imag,-0.8962809699,nan,nan,nan
380,190,Real,-11.03509506,nan,nan,nan
381,190,Imag,7.289975842,nan,nan,nan
382,191,Real,1.192844504,nan,nan,nan
383,191,Imag,-13.06608405,-nan,nan,nan
384,192,Real,6.707226396,-nan,nan,nan
385,192,Imag,-3.007944465,nan,nan,nan
386,193,Real,-0.33165539,-nan,nan,nan
387,193,Imag,17.46367463,nan,nan,nan
388,194,Real,0.3420166047,-nan,nan,nan
389,194,Imag,-5.0626217,nan,nan,nan
390,195,Real,1.941797269,-nan,nan,nan
391,195,Imag,16.23283983,nan,nan,nan
392,196,Real,8.95063889,-nan,nan,nan
393,196,Imag,-15.47752122,nan,nan,nan
394,197,Real,17.10654187,-nan,nan,nan
395,197,Imag,9.935911151,nan,nan,nan
396,198,Real,11.24349773,-nan,nan,nan
397,198,Imag,1.905050949,-nan,nan,nan
398,199,Real,-11.38972835,-nan,nan,nan
399,199,Imag,-3.267661946,nan,nan,nan
400,200,Real,-12.89792286,-nan,nan,nan
401,200,Imag,-6.653857028,nan,nan,nan
402,201,Real,3.880528934,-nan,nan,nan
403,201,Imag,6.719033201,nan,nan,nan
404,202,Real,15.77248736,-nan,nan,nan
405,202,Imag,-9.412097054,nan,nan,nan
406,203,Real,2.452839077,-nan,nan,nan
407,203,Imag,7.90773099,nan,nan,nan
408,204,Real,2.987441871,-nan,nan,nan
409,204,Imag,-9.574601213,nan,nan,nan
410,205,Real,7.498339078,-nan,nan,nan
411,205,Imag,-5.039591862,nan,nan,nan
412,206,Real,-26.57423106,-nan,nan,nan
413,206,Imag,15.64066993,nan,nan,nan
414,207,Real,-7.275063199,-nan,nan,nan
415,207,Imag,-9.635823324,-nan,nan,nan
416,208,Real,16.56251793,-nan,nan,nan
417,208,Imag,-3.456886026,nan,nan,nan
418,209,Real,6.714836847,-nan,nan,nan
419,209,Imag,-4.191283477,nan,nan,nan
420,210,Real,-8.820511022,-nan,nan,nan
421,210,Imag,12.64360089,nan,nan,nan
422,211,Real,-0.451703749,nan,nan,nan
423,211,Imag,-1.851481511,nan,nan,nan
424,212,Real,19.91064772,-nan,nan,nan
425,212,Imag,3.397517294,nan,nan,nan
426,213,Real,4.904952883,-nan,nan,nan
427,213,Imag,10.93761399,nan,nan,nan
428,214,Real,4.755241521,-nan,nan,nan
429,214,Imag,11.57895521,-nan,nan,nan
430,215,Real,8.250172784,-nan,nan,nan
431,215,Imag,8.544433367,nan,nan,nan
432,216,Real,-0.1598746946,-nan,nan,nan
433,216,Imag,5.436302746,nan,nan,nan
434,217,Real,-14.0072397,-nan,nan,nan
435,217,Imag,-4.757364979,-nan,nan,nan
436,218,Real,-2.600634247,-nan,nan,nan
437,218,Imag,-16.54049447,nan,nan,nan
438,219,Real,-8.814737137,-nan,nan,nan
439,219,Imag,-2.410294672,nan,nan,nan
440,220,Real,3.605326454,-nan,nan,nan
441,220,Imag,-9.152724002,-nan,nan,nan
442,221,Real,4.140448068,-nan,nan,nan
443,221,Imag,5.747863815,nan,nan,nan
444,222,Real,-2.664416657,-nan,nan,nan
445,222,Imag,3.736365936,nan,nan,nan
446,223,Real,-3.248957743,nan,nan,nan
447,223,Imag,14.87819745,nan,nan,nan
448,224,Real,8.382881438,-nan,nan,nan
449,224,Imag,5.648603277,nan,nan,nan
450,225,Real,-3.415073283,-nan,nan,nan
451,225,Imag,-6.076917852,nan,nan,nan
452,226,Real,-8.566255636,-nan,nan,nan
453,226,Imag,-13.69651445,nan,nan,nan
454,227,Real,-6.05460585,-nan,nan,nan
455,227,Imag,-15.04300486,nan,nan,nan
456,228,Real,-4.384904664,-nan,nan,nan
457,228,Imag,1.63911061,nan,nan,nan
458,229,Real,5.234375818,-nan,nan,nan
459,229,Imag,-11.83994741,nan,nan,nan
460,230,Real,2.8136467,-nan,nan,nan
461,230,Imag,-8.902135822,nan,nan,nan
462,231,Real,7.01747055,-nan,nan,nan
463,231,Imag,-14.77516787,nan,nan,nan
464,232,Real,14.33885659,-nan,nan,nan
465,232,Imag,1.152352813,nan,nan,nan
466,233,Real,12.42382432,-nan,nan,nan
467,233,Imag,-2.059286787,nan,nan,nan
468,234,Real,6.180254378,-nan,nan,nan
469,234,Imag,11.34287911,nan,nan,nan
470,235,Real,4.186682836,-nan,nan,nan
471,235,Imag,-14.08739073,nan,nan,nan
472,236,Real,4.392306155,-nan,nan,nan
473,236,Imag,9.889294056,nan,nan,nan
474,237,Real,11.09836416,-nan,nan,nan
475,237,Imag,5.129026877,nan,nan,nan
476,238,Real,-7.061082957,-nan,nan,nan
477,238,Imag,21.11821446,nan,nan,nan
478,239,Real,-7.316543717,-nan,nan,nan
479,239,Imag,1.78571209,nan,nan,nan
480,240,Real,-6.503116666,-nan,nan,nan
481,240,Imag,9.593445029,-nan,nan,nan
482,241,Real,-3.390351997,-nan,nan,nan
483,241,Imag,-0.09690510331,-nan,nan,nan
484,242,Real,-14.09137619,-nan,nan,nan
485,242,Imag,12.52749153,nan,nan,nan
486,243,Real,10.78439434,-nan,nan,nan
487,243,Imag,5.580869901,nan,nan,nan
488,244,Real,-6.600774379,-nan,nan,nan
489,244,Imag,6.323400638,nan,nan,nan
490,245,Real,2.132120833,-nan,nan,nan
491,245,Imag,-3.140784722,nan,nan,nan
492,246,Real,-7.915128941,-nan,nan,nan
493,246,Imag,-6.594636437,nan,nan,nan
494,247,Real,13.72845619,-nan,nan,nan
495,247,Imag,-6.748961944,nan,nan,nan
496,248,Real,-7.707118071,-nan,nan,nan
497,248,Imag,4.574755586,nan,nan,nan
498,249,Real,-14.80955771,-nan,nan,nan
499,249,Imag,13.33275403,nan,nan,nan
500,250,Real,9.011875223,-nan,nan,nan
501,250,Imag,-5.840597811,nan,nan,nan
502,251,Real,3.51370551,-nan,nan,nan
503,251,Imag,3.133933461,nan,nan,nan
504,252,Real,15.75086345,-nan,nan,nan
505,252,Imag,5.818830285,nan,nan,nan
506,253,Real,-9.652861993,-nan,nan,nan
507,253,Imag,3.744060607,nan,nan,nan
508,254,Real,2.954387595,-nan,nan,nan
509,254,Imag,-13.81778271,nan,nan,nan
510,255,Real,-2.350590942,nan,nan,nan
511,255,Imag,5.881070868,nan,nan,nan
